date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:14	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
00:14:14	34427/34427	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Sep%202018%2012:53:39%20GMT	https://preview.colorlib.com/theme/coffeeblend/	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/index.html	(from )
00:14:14	737/737	---M-Z	200	added ('OK')	text/css	etag:%222e1-5c1f9b18c4c20-gzip%22	https://preview.colorlib.com/theme/coffeeblend/css/open-iconic-bootstrap.min.css	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/css/open-iconic-bootstrap.min.css	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:15	54127/54127	---M-Z	200	added ('OK')	text/css	etag:%22d36f-5c1f9b18c3c80-gzip%22	https://preview.colorlib.com/theme/coffeeblend/css/animate.css	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/css/animate.css	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:15	3336/3336	---M-Z	200	added ('OK')	text/css	etag:%22d08-5c1f9b18c4c20-gzip%22	https://preview.colorlib.com/theme/coffeeblend/css/owl.carousel.min.css	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:15	89/89	---M-Z	200	added ('OK')	text/css	etag:%2259-5c1f9b18c4c20-gzip%22	https://preview.colorlib.com/theme/coffeeblend/css/owl.theme.default.min.css	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/css/owl.theme.default.min.css	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:16	4212/4212	---M-Z	200	added ('OK')	text/css	etag:%221074-5c1f9b18c4c20-gzip%22	https://preview.colorlib.com/theme/coffeeblend/css/magnific-popup.css	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/css/magnific-popup.css	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:16	6727/6727	---M-Z	200	added ('OK')	text/css	etag:%221a47-5c1f9b18c4c20-gzip%22	https://preview.colorlib.com/theme/coffeeblend/css/aos.css	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/css/aos.css	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:17	1637/1637	---M-Z	200	added ('OK')	text/css	etag:%22665-5c1f9b18c4c20-gzip%22	https://preview.colorlib.com/theme/coffeeblend/css/ionicons.min.css	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/css/ionicons.min.css	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:17	17715/17715	---M-Z	200	added ('OK')	text/css	etag:%224533-5c1f9b18c4c20-gzip%22	https://preview.colorlib.com/theme/coffeeblend/css/bootstrap-datepicker.css	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/css/bootstrap-datepicker.css	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:18	1422/1422	---M-Z	200	added ('OK')	text/css	etag:%2258e-5c1f9b18c4c20-gzip%22	https://preview.colorlib.com/theme/coffeeblend/css/jquery.timepicker.css	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/css/jquery.timepicker.css	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:19	1279/1279	---M-Z	200	added ('OK')	text/css	etag:%224ff-5c1f9b18c4c20-gzip%22	https://preview.colorlib.com/theme/coffeeblend/css/flaticon.css	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/css/flaticon.css	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:19	1599/1599	---M-Z	200	added ('OK')	text/css	etag:%2263f-5c1f9b18c4c20-gzip%22	https://preview.colorlib.com/theme/coffeeblend/css/icomoon.css	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/css/icomoon.css	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:20	83672/83672	---M-Z	200	added ('OK')	text/css	etag:%22146d8-5c1f9b18c5bc0-gzip%22	https://preview.colorlib.com/theme/coffeeblend/css/style.css	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/css/style.css	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:20	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Thu,%2014%20Sep%202023%2018:44:22%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:21	34427/34427	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Sep%202018%2012:53:39%20GMT	https://preview.colorlib.com/theme/coffeeblend/index.html	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/index-2.html	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:22	28198/28198	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Sep%202018%2012:53:39%20GMT	https://preview.colorlib.com/theme/coffeeblend/menu.html	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/menu.html	(from https://preview.colorlib.com/theme/coffeeblend/)
00:14:22	11287/11287	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Sep%202018%2012:53:41%20GMT	https://preview.colorlib.com/theme/coffeeblend/services.html	C:/Users/UbairMir/Desktop/My%20Web%20Sites/2/preview.colorlib.com/theme/coffeeblend/services.html	(from https://preview.colorlib.com/theme/coffeeblend/)
